"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"JDO","JUDO CAPITAL HOLDINGS LIMITED","2021-11-01","Banks",1956770173
"JGH","JADE GAS HOLDINGS LIMITED","1995-02-13","Materials",65385714
"JHG","JANUS HENDERSON GROUP PLC","2008-10-27","Diversified Financials",7278539433
"JHX","JAMES HARDIE INDUSTRIES PLC","2001-10-15","Materials",16265802417
"JIN","JUMBO INTERACTIVE LIMITED","1972-06-14","Consumer Services",991580919
"JLG","JOHNS LYNG GROUP LIMITED","2017-10-26","Capital Goods",1612193360
"JMS","JUPITER MINES LIMITED.","2018-04-18","Materials",421183072
"JNO","JUNO MINERALS LIMITED","2021-05-14","Materials",15692670
"JPR","JUPITER ENERGY LIMITED","2003-11-12","Energy",4601331
"JRL","JINDALEE RESOURCES LIMITED","2002-07-11","Materials",208285647
"JRV","JERVOIS GLOBAL LIMITED","1980-12-01","Materials",1306985826
"JTL","JAYEX TECHNOLOGY LIMITED","2015-12-17","Health Care Equipment & Services",1993828
"JXT","JAXSTA LTD","2010-09-21","Software & Services",11990237
"JYC","JOYCE CORPORATION LTD","1986-12-17","Retailing",77738661
"K2F","K2FLY LIMITED","2008-02-19","Software & Services",32906006
"KAI","KAIROS MINERALS LIMITED","1973-05-30","Materials",52976524
"KAL","KALGOORLIE GOLD MINING LIMITED","2021-11-17","Materials",9939979
"KAM","K2 ASSET MANAGEMENT HOLDINGS LTD","2007-11-29","Diversified Financials",14947282
"KAR","KAROON ENERGY LTD","2004-06-08","Energy",1050693181
"KAT","KATANA CAPITAL LIMITED","2005-12-23","Not Applic",37480009
"KAU","KAISER REEF LIMITED","2020-02-28","Materials",24659466
"KBC","KEYBRIDGE CAPITAL LIMITED","1999-12-23","Diversified Financials",19155405
"KCC","KINCORA COPPER LIMITED","2021-03-30","Materials",9089581
"KCN","KINGSGATE CONSOLIDATED LIMITED.","1988-04-21","Materials",331980680
"KED","KEYPATH EDUCATION INTERNATIONAL INC.","2021-06-02","Consumer Services",343568123
"KEY","KEY PETROLEUM LIMITED","2007-04-26","Energy",3935856
"KFE","KOGI IRON LIMITED","1987-01-16","Materials",9085967
"KFM","KINGFISHER MINING LTD","2020-12-11","Materials",9083750
"KGD","KULA GOLD LIMITED","2010-11-16","Materials",7100796
"KGL","KGL RESOURCES LIMITED","2005-03-17","Materials",152350251
"KGM","KALNORTH GOLD MINES LIMITED","2005-01-20","Materials","N/A"
"KGN","KOGAN.COM LTD","2016-07-07","Retailing",379592991
"KIL","KILAND LTD","2002-07-08","Materials",85567372
"KIN","KIN MINING NL","2013-10-02","Materials",68424582
"KKC","KKR CREDIT INCOME FUND","2019-11-21","Not Applic",773300000
"KKO","KINETIKO ENERGY LTD","2011-07-21","Energy",46967215
"KKONB","KINETIKO ENERGY LTD","2011-07-21","Energy",46967215
"KLI","KILLI RESOURCES LIMITED","2022-02-10","Class Pend",13000000
"KLL","KALIUM LAKES LIMITED","2016-12-22","Materials",111080948
"KLO","KINGSLAND GLOBAL LTD","2015-12-11","Real Estate",9720000
"KLR","KAILI RESOURCES LIMITED","1997-03-06","Energy",2358406
"KLS","KELSIAN GROUP LIMITED","2013-10-16","Consumer Services",1653280793
"KMD","KMD BRANDS LIMITED","2009-11-13","Retailing",747996460
"KME","KIP MCGRATH EDUCATION CENTRES LIMITED","2003-08-15","Consumer Services",59345298
"KMT","KOPORE METALS LIMITED","2011-07-01","Materials",26469389
"KNB","KOONENBERRY GOLD LIMITED","2021-09-28","Materials",11855160
"KNG","KINGSLAND MINERALS LTD",,"Class Pend",0
"KNI","KUNIKO LIMITED","2021-08-24","Materials",60957224
"KNM","KNEOMEDIA LIMITED","1987-06-24","Media & Entertainment",36338697
"KNO","KNOSYS LIMITED","2015-09-09","Software & Services",19452483
"KOB","KOBA RESOURCES LIMITED","2022-05-04","Materials",13000000
"KOR","KORAB RESOURCES LIMITED","2005-08-31","Materials",10644450
"KOV","KORVEST LTD","1970-09-17","Capital Goods",90008139
"KP2","KORE POTASH PLC","2017-11-07","Materials",74260878
"KPG","KELLY PARTNERS GROUP HOLDINGS LIMITED","2017-06-21","Commercial & Professional Services",200250000
"KPO","KALINA POWER LIMITED","1971-08-02","Utilities",34770894
"KRM","KINGSROSE MINING LIMITED","2007-12-07","Materials",46656644
"KRR","KING RIVER RESOURCES LIMITED","2007-09-21","Materials",35731074
"KSC","K & S CORPORATION LIMITED","1971-08-25","Transportation",221219884
"KSL","KINA SECURITIES LIMITED","2015-07-30","Banks",241026156
"KSN","KINGSTON RESOURCES LIMITED","1987-03-05","Materials",55723874
"KSS","KLEOS SPACE S.A","2018-08-24","Commercial & Professional Services",94618714
"KTA","KRAKATOA RESOURCES LIMITED","2012-12-28","Materials",27232083
"KTG","K-TIG LIMITED","2012-11-01","Capital Goods",54333378
"KWR","KINGWEST RESOURCES LIMITED","2018-08-24","Materials",37660819
"KYK","KYCKR LIMITED","2016-09-07","Software & Services",33868790
"KZA","KAZIA THERAPEUTICS LIMITED","1994-09-01","Pharmaceuticals, Biotechnology & Life Sciences",106444590
"KZR","KALAMAZOO RESOURCES LIMITED","2017-01-16","Materials",49366087
"LAM","LARAMIDE RESOURCES LTD","2013-04-30","Energy",142317785
"LAN","LANYON INVESTMENT COMPANY LIMITED","2015-12-01","Not Applic","N/A"
"LAU","LINDSAY AUSTRALIA LIMITED","1994-07-05","Transportation",119126995
"LAW","LAWFINANCE LIMITED","2000-05-12","Diversified Financials",15601825
"LBL","LASERBOND LIMITED","2007-12-17","Capital Goods",91813352
"LBT","LBT INNOVATIONS LIMITED","2006-07-31","Health Care Equipment & Services",26231927
"LBY","LAYBUY GROUP HOLDINGS LIMITED","2020-09-07","Software & Services",18601802
"LCE","LONDON CITY EQUITIES LIMITED","1987-03-06","Diversified Financials",15325547
"LCL","LOS CERROS LIMITED","2007-10-02","Materials",42206051
"LCT","LIVING CELL TECHNOLOGIES LIMITED","2004-09-01","Pharmaceuticals, Biotechnology & Life Sciences",5141819
"LCY","LEGACY IRON ORE LIMITED","2008-07-08","Materials",153763829
"LDR","LODE RESOURCES LTD","2021-07-02","Materials",11994900
"LDX","LUMOS DIAGNOSTICS HOLDINGS LIMITED","2021-07-05","Health Care Equipment & Services",39202014
"LEG","LEGEND MINING LIMITED","1995-08-25","Materials",192859500
"LEL","LITHIUM ENERGY LIMITED","2021-05-19","Materials",94411800
"LER","LEAF RESOURCES LTD","1999-01-05","Materials","N/A"
"LEX","LEFROY EXPLORATION LIMITED","1991-09-05","Materials",43762400
"LFG","LIBERTY FINANCIAL GROUP","2020-12-15","Banks",1505856000
"LFS","LATITUDE GROUP HOLDINGS LIMITED","2021-04-20","Diversified Financials",1858846153
"LGL","LYNCH GROUP HOLDINGS LIMITED","2021-04-06","Food, Beverage & Tobacco",267324785
"LGM","LEGACY MINERALS HOLDINGS LIMITED","2021-09-13","Materials",11276325
"LGP","LITTLE GREEN PHARMA LTD","2020-02-20","Pharmaceuticals, Biotechnology & Life Sciences",96106708
"LHM","LAND & HOMES GROUP LIMITED","2004-10-05","Real Estate",14691450
"LIC","LIFESTYLE COMMUNITIES LIMITED","1998-12-15","Real Estate",1424950136
"LIN","LINDIAN RESOURCES LIMITED","2000-03-02","Materials",26176038
"LIO","LION ENERGY LIMITED","1972-02-15","Energy",16618299
"LIS","LI-S ENERGY LIMITED","2021-09-28","Capital Goods",384120138
"LIT","LITHIUM AUSTRALIA LIMITED","2007-10-30","Materials",89024209
"LKE","LAKE RESOURCES N.L.","2001-08-29","Materials",1869691931
"LKO","LAKES BLUE ENERGY NL","1985-12-05","Energy",45040352
"LKY","LOCKSLEY RESOURCES LIMITED","2021-07-08","Materials",7840000
"LLC","LENDLEASE GROUP","1962-06-30","Real Estate",7626199804
"LLL","LEO LITHIUM LIMITED",,"Class Pend",0
"LLO","LION ONE METALS LIMITED","2013-06-07","Materials",172053082
"LM8","LUNNON METALS LIMITED","2021-06-16","Materials",155287090
"LME","LIMEADE INC.","2019-12-20","Software & Services",82739168
"LMG","LATROBE MAGNESIUM LIMITED","1986-12-18","Materials",113862100
"LML","LINCOLN MINERALS LIMITED","2007-03-09","Materials","N/A"
"LNK","LINK ADMINISTRATION HOLDINGS LIMITED","2015-10-27","Software & Services",2282794290
"LNU","LINIUS TECHNOLOGIES LIMITED","2011-07-26","Software & Services",15676130
"LNY","LANEWAY RESOURCES LTD","1987-04-02","Materials",31510082
"LOM","LUCAPA DIAMOND COMPANY LIMITED","2006-12-19","Materials",77732900
"LOT","LOTUS RESOURCES LIMITED","2009-02-18","Materials",325432198
"LOV","LOVISA HOLDINGS LIMITED","2014-12-18","Retailing",1641983391
"LPD","LEPIDICO LTD","1994-04-19","Materials",173059645
"LPDNI","LEPIDICO LTD","1994-04-19","Materials",173059645
"LPE","LOCALITY PLANNING ENERGY HOLDINGS LIMITED","2011-10-11","Utilities",8729606
"LPI","LITHIUM POWER INTERNATIONAL LIMITED","2016-06-24","Materials",202504012
"LPM","LITHIUM PLUS MINERALS LTD.","2022-04-26","Materials",59655000
"LRD","LORD RESOURCES LIMITED","2022-04-07","Materials",10173912
"LRK","LARK DISTILLING CO. LTD","2003-11-12","Food, Beverage & Tobacco",212363983
"LRL","LABYRINTH RESOURCES LIMITED","1971-07-28","Materials",22707536
"LRS","LATIN RESOURCES LIMITED","2010-09-21","Materials",260284634
"LRT","LOWELL RESOURCES FUND","2018-03-22","Not Applic",48983795
"LRV","LARVOTTO RESOURCES LIMITED","2021-12-06","Materials",16746001
"LSA","LACHLAN STAR LIMITED","1971-07-28","Materials",26380254
"LSF","L1 LONG SHORT FUND LIMITED","2018-04-24","Not Applic",1717366448
"LSR","LODESTAR MINERALS LIMITED","2007-12-21","Materials",17384373
"LSX","LION SELECTION GROUP LIMITED.","2013-03-13","Not Applic",68314278
"LTR","LIONTOWN RESOURCES LIMITED","2006-12-27","Materials",2685475868
"LV1","LIVE VERDURE LTD","2020-12-14","Food, Beverage & Tobacco",12193659
"LVE","LOVE GROUP GLOBAL LTD","2014-12-05","Software & Services",3283268
"LVH","LIVEHIRE LIMITED","2016-06-10","Software & Services",78790490
"LVT","LIVETILES LIMITED","1999-08-17","Software & Services",59086164
"LYC","LYNAS RARE EARTHS LIMITED","1986-09-11","Materials",8482668608
"LYK","LYKOS METALS LIMITED","2021-10-21","Materials",32886001
"LYL","LYCOPODIUM LIMITED","2004-12-17","Capital Goods",237249149
"LYN","LYCAON RESOURCES LTD","2021-11-17","Materials",13455000
"M24","MAMBA EXPLORATION LIMITED","2021-02-05","Materials",6708167
"M2M","MT MALCOLM MINES NL","2021-09-10","Materials",6363900
"M2R","MIRAMAR RESOURCES LIMITED","2020-10-22","Materials",8094577
"M3M","M3 MINING LIMITED","2021-07-29","Materials",5723375
"M7T","MACH7 TECHNOLOGIES LIMITED","2005-11-30","Health Care Equipment & Services",143295629
"M8S","M8 SUSTAINABLE LIMITED","2019-12-11","Commercial & Professional Services",9066984
"MAD","MADER GROUP LIMITED","2019-10-01","Commercial & Professional Services",510000000
"MAF","MA FINANCIAL GROUP LIMITED","2017-04-10","Diversified Financials",1084732104
"MAG","MAGMATIC RESOURCES LIMITED","2017-05-19","Materials",16287155
"MAH","MACMAHON HOLDINGS LIMITED","1983-12-01","Materials",334022802
"MAM","MICROEQUITIES ASSET MANAGEMENT GROUP LIMITED","2018-04-30","Diversified Financials",90859172
"MAN","MANDRAKE RESOURCES LIMITED","1987-05-29","Materials",24175199
"MAP","MICROBA LIFE SCIENCES LIMITED","2022-04-05","Health Care Equipment & Services",79563819
"MAQ","MACQUARIE TELECOM GROUP LIMITED","1999-09-27","Telecommunication Services",1293916620
"MAT","MATSA RESOURCES LIMITED","2005-04-20","Materials",21178323
"MAU","MAGNETIC RESOURCES NL","2007-04-05","Materials",314079947
"MAUCA","MAGNETIC RESOURCES NL","2007-04-05","Materials",314079947
"MAY","MELBANA ENERGY LIMITED","1998-03-27","Energy",287518848
"MBH","MAGGIE BEER HOLDINGS LTD","2004-08-27","Food, Beverage & Tobacco",137022569
"MBK","METAL BANK LIMITED","2011-03-02","Materials",15646909
"MBX","MY FOODIE BOX LIMITED","2022-01-07","Food & Staples Retailing",10719998
"MCA","MURRAY COD AUSTRALIA LIMITED","2011-03-30","Food, Beverage & Tobacco",156876945
"MCE","MATRIX COMPOSITES & ENGINEERING LIMITED","2009-11-16","Energy",24832143
"MCL","MIGHTY CRAFT LIMITED","2019-12-17","Food, Beverage & Tobacco",88528433
"MCM","MC MINING LIMITED","1980-04-24","Energy",29648231
"MCP","MCPHERSON'S LIMITED","1962-06-30","Household & Personal Products",105491442
"MCR","MINCOR RESOURCES NL","1997-06-16","Materials",1167324704
"MCT","METALICITY LIMITED","2005-12-21","Materials",15633586
"MCTNC","METALICITY LIMITED","2005-12-21","Materials",15633586
"MCX","MARINER CORPORATION LIMITED","1986-06-20","Diversified Financials","N/A"
"MCY","MERCURY NZ LIMITED","2013-05-10","Utilities",7254682649
"MDC","MEDLAB CLINICAL LIMITED","2015-07-14","Pharmaceuticals, Biotechnology & Life Sciences",26689702
"MDI","MIDDLE ISLAND RESOURCES LIMITED","2010-12-16","Materials",17138551
"MDR","MEDADVISOR LIMITED","2011-05-26","Health Care Equipment & Services",79965887
"MDX","MINDAX LIMITED","2004-12-08","Materials","N/A"
"MEA","MCGRATH LIMITED","2015-12-07","Real Estate",61306527
"MEB","MEDIBIO LIMITED","2001-01-29","Health Care Equipment & Services",8389465
"MEC","MORPHIC ETHICAL EQUITIES FUND LIMITED","2017-05-03","Diversified Financials",55893020
"MEG","MEGADO GOLD LIMITED","2020-10-27","Materials",9295000
"MEI","METEORIC RESOURCES NL","2004-07-16","Materials",18315568
"MEK","MEEKA GOLD LIMITED","1999-12-21","Materials",45098878
"MEL","METGASCO LTD","2004-12-23","Energy",24180070
"MEM","MEMPHASYS LIMITED.","2007-05-14","Pharmaceuticals, Biotechnology & Life Sciences",34855847
"MEU","MARMOTA LIMITED","2007-11-21","Energy",56844716
"MEZ","MERIDIAN ENERGY LIMITED","2013-10-29","Utilities",10851547745
"MFB","MY FOOD BAG GROUP LIMITED","2021-03-05","Retailing",196374394
"MFD","MAYFIELD CHILDCARE LIMITED","2016-11-30","Consumer Services",87289163
"MFF","MFF CAPITAL INVESTMENTS LIMITED","2006-12-19","Not Applic",1419986254
"MFG","MAGELLAN FINANCIAL GROUP LIMITED","2004-07-01","Diversified Financials",2679877854
"MGA","METALSGROVE MINING LTD",,,0
"MGF","MAGELLAN GLOBAL FUND.","2020-11-30","Not Applic",2226123497
"MGH","MAAS GROUP HOLDINGS LIMITED","2020-12-04","Capital Goods",1331578871
"MGL","MAGONTEC LIMITED","1983-07-07","Materials",25704285
"MGR","MIRVAC GROUP","1999-06-16","Real Estate",8517029736
"MGT","MAGNETITE MINES LIMITED.","2006-04-06","Materials",82153419
"MGTNF","MAGNETITE MINES LIMITED.","2006-04-06","Materials",82153419
"MGU","MAGNUM MINING AND EXPLORATION LIMITED","1987-04-23","Materials",31249366
"MGV","MUSGRAVE MINERALS LIMITED","2011-04-29","Materials",136979102
"MGX","MOUNT GIBSON IRON LIMITED","1976-02-12","Materials",792922062
"MHC","MANHATTAN CORPORATION LIMITED","2008-01-29","Energy",16789066
"MHI","MERCHANT HOUSE INTERNATIONAL LIMITED","1994-10-31","Consumer Durables & Apparel",5090391
"MHJ","MICHAEL HILL INTERNATIONAL LIMITED","2016-07-07","Retailing",427113911
"MHK","METAL HAWK LIMITED.","2020-11-19","Materials",12796387
"MI6","MINERALS 260 LIMITED","2021-10-12","Materials",92400000
"MIH","MNC MEDIA INVESTMENT LTD","2013-09-13","Media & Entertainment","N/A"
"MIL","MILLENNIUM SERVICES GROUP LIMITED","2015-11-19","Commercial & Professional Services",16017749
"MIN","MINERAL RESOURCES LIMITED","2006-07-28","Materials",11225311171
"MIO","MACARTHUR MINERALS LIMITED","2019-12-06","Materials",60470058
"MIR","MIRRABOOKA INVESTMENTS LIMITED","2001-06-28","Not Applic",604623996
"MIRNB","MIRRABOOKA INVESTMENTS LIMITED","2001-06-28","Not Applic",604623996
"MKG","MAKO GOLD LIMITED","2018-04-16","Materials",29432603
"MKL","MIGHTY KINGDOM LIMITED","2021-04-21","Media & Entertainment",12217128
"MKR","MANUKA RESOURCES LTD.","2020-07-14","Materials",65784688
"MLD","MACA LIMITED","2010-11-03","Materials",264825906
"MLG","MLG OZ LIMITED","2021-05-04","Materials",88858189
"MLM","METALLICA MINERALS LIMITED","2004-11-23","Materials",19977791
"MLS","METALS AUSTRALIA LTD","1986-01-23","Materials",47850269
"MLX","METALS X LIMITED","2004-08-26","Materials",458169364
"MM1","MIDAS MINERALS LTD","2021-09-07","Materials",19513026
"MM8","MEDALLION METALS LIMITED.","2021-03-22","Materials",46942108
"MMA","MARONAN METALS LIMITED","2022-04-29","Materials",57000000
"MMC","MITRE MINING CORPORATION LIMITED","2021-09-30","Materials",4959015
"MME","MONEYME LIMITED","2019-12-12","Diversified Financials",285416671
"MMG","MONGER GOLD LTD","2021-07-06","Materials",8260000
"MMI","METRO MINING LIMITED","2009-12-04","Materials",59775394
"MMM","MARLEY SPOON AG","2018-07-02","Consumer Services",105104880
"MMR","MEC RESOURCES LIMITED","2006-05-29","Energy","N/A"
"MMS","MCMILLAN SHAKESPEARE LIMITED","2004-03-15","Commercial & Professional Services",868989832
"MNB","MINBOS RESOURCES LIMITED","2010-10-18","Materials",68335527
"MND","MONADELPHOUS GROUP LIMITED","1991-03-28","Capital Goods",978347980
"MNS","MAGNIS ENERGY TECHNOLOGIES LTD","2005-10-25","Materials",381761705
"MNY","MONEY3 CORPORATION LIMITED","2006-10-19","Diversified Financials",463865699
"MOB","MOBILICOM LIMITED","2017-05-02","Technology Hardware & Equipment",12233595
"MOH","MOHO RESOURCES LIMITED","2018-11-07","Materials",4294247
"MOQ","MOQ LIMITED","2000-12-19","Software & Services",18619571
"MOT","METRICS INCOME OPPORTUNITIES TRUST","2019-04-29","Not Applic",564266665
"MOV","MOVE LOGISTICS GROUP LIMITED",,"Transportation",0
"MOZ","MOSAIC BRANDS LIMITED","2000-05-11","Retailing",51630206
"MP1","MEGAPORT LIMITED","2015-12-17","Software & Services",1110381582
"MPA","MAD PAWS HOLDINGS LIMITED","2021-03-26","Retailing",52401442
"MPG","MANY PEAKS GOLD LIMITED","2022-03-16","Materials",16630250
"MPL","MEDIBANK PRIVATE LIMITED","2014-11-25","Insurance",8812810368
"MPP","METRO PERFORMANCE GLASS LIMITED","2014-07-30","Capital Goods",50052083
"MPR","MPOWER GROUP LIMITED","1974-01-01","Diversified Financials",6441478
"MPX","MUSTERA PROPERTY GROUP LIMITED","2014-11-28","Real Estate",42549364
"MQG","MACQUARIE GROUP LIMITED","2007-11-05","Diversified Financials",68151166237
"MQR","MARQUEE RESOURCES LIMITED","2017-03-15","Materials",29304358
"MR1","MONTEM RESOURCES LIMITED.","2020-09-15","Materials",8928772
"MRC","MINERAL COMMODITIES LTD","1981-08-14","Materials",58848970
"MRD","MOUNT RIDLEY MINES LIMITED","2004-09-15","Materials",46797561
"MRG","MURRAY RIVER ORGANICS GROUP LIMITED","2016-12-16","Food, Beverage & Tobacco",10808210
"MRI","MY REWARDS INTERNATIONAL LIMITED","2022-02-11","Commercial & Professional Services",12930242
"MRL","MAYUR RESOURCES LIMITED","2017-09-21","Materials",27639439
"MRM","MMA OFFSHORE LIMITED","1999-06-21","Energy",206613736
"MRQ","MRG METALS LIMITED","2011-06-08","Materials",13976469
"MRR","MINREX RESOURCES LIMITED","2011-11-11","Materials",55479353
"MRZ","MONT ROYAL RESOURCES LIMITED","2019-05-07","Materials",22121864
"MSB","MESOBLAST LIMITED","2004-12-16","Pharmaceuticals, Biotechnology & Life Sciences",656959097
"MSG","MCS SERVICES LIMITED","2012-01-17","Commercial & Professional Services",7936931
"MSI","MULTISTACK INTERNATIONAL LIMITED","1993-02-11","Capital Goods",4089118
"MSL","MSL SOLUTIONS LIMITED.","2017-05-04","Software & Services",60104438
"MSV","MITCHELL SERVICES LIMITED","2011-08-02","Materials",68609416
"MTB","MOUNT BURGESS MINING NL","1985-09-05","Materials",4555027
"MTC","METALSTECH LIMITED","2017-02-24","Materials",59165929
"MTH","MITHRIL RESOURCES LIMITED","2002-11-18","Materials",20441631
"MTM","MT MONGER RESOURCES LIMITED","2021-07-15","Materials",6602217
"MTO","MOTORCYCLE HOLDINGS LIMITED","2016-04-29","Retailing",151798507
"MTR","METAL TIGER PLC","2021-05-27","Materials",55909780
"MTS","METCASH LIMITED","2005-04-08","Food & Staples Retailing",4142173473
"MVF","MONASH IVF GROUP LIMITED","2014-06-26","Health Care Equipment & Services",424701976
"MVL","MARVEL GOLD LIMITED","2016-06-14","Materials",28172775
"MVP","MEDICAL DEVELOPMENTS INTERNATIONAL LIMITED","2003-12-15","Pharmaceuticals, Biotechnology & Life Sciences",203219412
"MWY","MIDWAY LIMITED","2016-12-08","Materials",85152816
"MX1","MICRO-X LIMITED","2015-12-22","Health Care Equipment & Services",80754497
"MXC","MGC PHARMACEUTICALS LTD","2006-12-21","Pharmaceuticals, Biotechnology & Life Sciences",57294171
"MXI","MAXIPARTS LIMITED","1994-12-07","Capital Goods",93372055
"MXO","MOTIO LTD","2011-05-09","Media & Entertainment",12560859
"MXR","MAXIMUS RESOURCES LIMITED","2005-10-26","Materials",22253404
"MXT","METRICS MASTER INCOME TRUST","2017-10-09","Not Applic",1586670709
"MYD","MYDEAL.COM.AU LIMITED","2020-10-22","Retailing",166943612
"MYE","METAROCK GROUP LIMITED","2010-05-07","Materials",62876423
"MYG","MAYFIELD GROUP HOLDINGS LIMITED","1986-10-30","Capital Goods",32610922
"MYL","MALLEE RESOURCES LIMITED","2007-12-03","Materials","N/A"
"MYR","MYER HOLDINGS LIMITED","2009-11-02","Retailing",357256285
"MYS","MYSTATE LIMITED","2009-09-10","Banks",498812272
"MYX","MAYNE PHARMA GROUP LIMITED","2007-06-29","Pharmaceuticals, Biotechnology & Life Sciences",502979616
"MZZ","MATADOR MINING LIMITED","2017-03-08","Materials",43503901
"N1H","N1 HOLDINGS LIMITED","2016-03-18","Banks",21206115
"NAB","NATIONAL AUSTRALIA BANK LIMITED","1962-01-31","Banks",99054156648
"NAC","NAOS EX-50 OPPORTUNITIES COMPANY LIMITED","2014-11-12","Not Applic",43358637
"NAE","NEW AGE EXPLORATION LIMITED","1994-02-18","Energy",15794888
"NAG","NAGAMBIE RESOURCES LIMITED","2006-06-23","Materials",26170454
"NAM","NAMOI COTTON LIMITED","1998-04-06","Commercial & Professional Services",76536759
"NAN","NANOSONICS LIMITED","2007-05-17","Health Care Equipment & Services",1110746110
"NBI","NB GLOBAL CORPORATE INCOME TRUST","2018-09-26","Not Applic",645182382
"NC1","NICO RESOURCES LIMITED","2022-01-19","Materials",94640002
"NC6","NANOLLOSE LIMITED","2017-10-18","Pharmaceuticals, Biotechnology & Life Sciences",12357569
"NCC","NAOS EMERGING OPPORTUNITIES COMPANY LIMITED","2013-02-26","Not Applic",73682342
"NCK","NICK SCALI LIMITED","2004-05-26","Retailing",711180000
"NCL","NETCCENTRIC LIMITED","2015-07-06","Media & Entertainment",21508886
"NCM","NEWCREST MINING LIMITED","1987-06-04","Materials",22265562548
"NCR","NUCOAL RESOURCES LIMITED","1996-05-31","Materials",7686124
"NCZ","NEW CENTURY RESOURCES LIMITED","2010-12-08","Materials",249537308
"NEA","NEARMAP LTD","2000-12-07","Software & Services",601379704
"NEC","NINE ENTERTAINMENT CO. HOLDINGS LIMITED","2013-12-06","Media & Entertainment",4109997740
"NES","NELSON RESOURCES LIMITED.","2017-12-07","Materials",5297349
"NET","NETLINKZ LIMITED","2011-01-13","Software & Services",156763666
"NEU","NEUREN PHARMACEUTICALS LIMITED","2005-02-03","Pharmaceuticals, Biotechnology & Life Sciences",482331628
"NEW","NEW ENERGY SOLAR LIMITED","2017-12-04","Utilities",250058629
"NFL","NORFOLK METALS LIMITED","2022-03-22","Materials",5610000
"NGE","NGE CAPITAL LIMITED","2007-12-28","Not Applic",28130720
"NGI","NAVIGATOR GLOBAL INVESTMENTS LIMITED","2006-04-28","Diversified Financials",348824176
"NGS","NUTRITIONAL GROWTH SOLUTIONS LTD","2020-10-30","Household & Personal Products",17896118
"NGY","NUENERGY GAS LIMITED","1987-01-15","Energy",31100065
"NHC","NEW HOPE CORPORATION LIMITED","2003-09-16","Energy",3179604053
"NHE","NOBLE HELIUM LIMITED","2022-04-08","Energy",39379441
"NHF","NIB HOLDINGS LIMITED","2007-11-05","Insurance",3282599098
"NIC","NICKEL MINES LIMITED","2018-08-20","Materials",3318497299
"NIM","NIMY RESOURCES LIMITED","2021-11-22","Materials",51450627
"NIS","NICKELSEARCH LIMITED","2021-10-18","Materials",16650243
"NKL","NICKELX LIMITED","2021-05-07","Materials",11002978
"NME","NEX METALS EXPLORATION LIMITED","2007-12-06","Materials",6942614
"NML","NAVARRE MINERALS LIMITED","2011-03-31","Materials",111903116
"NMR","NATIVE MINERAL RESOURCES HOLDINGS LIMITED","2020-11-16","Materials",16851835
"NMT","NEOMETALS LTD","2002-07-10","Materials",712889315
"NNG","NEXION GROUP LTD","2021-02-18","Software & Services",11563286
"NNL","NORDIC NICKEL LIMITED",,"Materials",0
"NOL","NOBLEOAK LIFE LIMITED","2021-07-22","Insurance",175757090
"NOR","NORWOOD SYSTEMS LIMITED","1995-06-27","Software & Services",4165585
"NOU","NOUMI LIMITED","1985-11-07","Food, Beverage & Tobacco",51265224
"NOV","NOVATTI GROUP LIMITED","2016-01-18","Software & Services",72088967
"NOX","NOXOPHARM LIMITED","2016-08-09","Pharmaceuticals, Biotechnology & Life Sciences",70137108
"NPM","NEWPEAK METALS LIMITED","2011-04-11","Materials",8849750
"NPR","NEWMARK PROPERTY REIT","2021-12-06","Real Estate",298811449
"NRX","NORONEX LIMITED","2017-11-15","Materials",9595151
"NRZ","NEURIZER LTD","2005-03-17","Energy",166872575
"NSB","NEUROSCIENTIFIC BIOPHARMACEUTICALS LTD","2018-07-27","Pharmaceuticals, Biotechnology & Life Sciences",32281120
"NSC","NAOS SMALL CAP OPPORTUNITIES COMPANY LIMITED","2004-03-25","Not Applic",118462743
"NSE","NEW STANDARD ENERGY LIMITED","2007-08-15","Energy","N/A"
"NSM","NORTH STAWELL MINERALS LTD","2020-09-24","Materials",27629210
"NSR","NATIONAL STORAGE REIT","2013-12-19","Real Estate",2797466043
"NST","NORTHERN STAR RESOURCES LTD","2003-12-17","Materials",10148249394
"NSX","NSX LIMITED","2005-01-13","Diversified Financials",14413267
"NTD","NATIONAL TYRE & WHEEL LIMITED","2017-12-15","Retailing",145129602
"NTI","NEUROTECH INTERNATIONAL LIMITED","2016-11-04","Health Care Equipment & Services",38373452
"NTL","NEW TALISMAN GOLD MINES LIMITED","1987-05-28","Materials",6254451
"NTO","NITRO SOFTWARE LIMITED","2019-12-11","Software & Services",323501937
"NTU","NORTHERN MINERALS LIMITED","2006-11-15","Materials",214013787
"NUC","NUCHEV LIMITED","2019-12-09","Food, Beverage & Tobacco",14488431
"NUF","NUFARM LIMITED","1988-11-10","Materials",2306716277
"NUH","NUHEARA LIMITED","2010-03-05","Technology Hardware & Equipment",17047931
"NVA","NOVA MINERALS LIMITED","1987-06-11","Materials",109923394
"NVU","NANOVEU LIMITED","2018-11-30","Technology Hardware & Equipment",3560896
"NVX","NOVONIX LIMITED","2015-12-02","Technology Hardware & Equipment",1787979038
"NWC","NEW WORLD RESOURCES LIMITED","2005-09-21","Materials",68666821
"NWE","NORWEST ENERGY NL","1997-09-19","Energy",221350238
"NWF","NEWFIELD RESOURCES LIMITED","2012-06-08","Materials",304529486
